"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 19 20:36:36 EST 2019","Tue Nov 19 20:36:37 EST 2019","672","testinterview.amazon","test_search_multiple","","","","test_search",""
"failed","Tue Nov 19 20:36:43 EST 2019","Tue Nov 19 20:36:44 EST 2019","861","testinterview.amazon","test_title","","","","test_title",""
"failed","Tue Nov 19 20:36:28 EST 2019","Tue Nov 19 20:36:30 EST 2019","1415","testinterview.amazon","test_search","","","","test_search_airmax",""
